vehicle_id,plate,journey_size,total_distance,total_moving,total_idle,counts,day
175,AAA0002,4,13.193,13297,3008,136,2021-10-11 11:05:55.105787
167,AAA0001,43,179.93099999999998,13651,0,6,2021-10-11 11:05:55.105787
167,AAA0001,3,5.724,7907,0,158,2021-10-11 11:05:55.105787
5603,AAA0003,2,439.376,220382,39411,3617,2021-10-11 11:05:55.105787
5596,AAA0004,11,166.926,22694,833,55,2021-10-11 11:05:55.105787
167,AAA0001,23,742.744,63325,240,49,2021-10-11 11:05:55.105787
175,AAA0002,54,277.757,23270,195,6,2021-10-11 11:05:55.105787
5596,AAA0004,5,33.16,7690,628,68,2021-10-11 11:05:55.105787
175,AAA0002,25,661.862,64798,636,45,2021-10-11 11:05:55.105787
5596,AAA0004,10,127.131,16957,956,47,2021-10-11 11:05:55.105787
175,AAA0002,60,131.402,10083,120,3,2021-10-11 11:05:55.105787
167,AAA0001,24,610.842,52527,1012,40,2021-10-11 11:05:55.105787
175,AAA0002,63,161.797,14914,0,4,2021-10-11 11:05:55.105787
5603,AAA0003,79,351.725,26229,1646,8,2021-10-11 11:05:55.105787
5603,AAA0003,153,124.306,8990,301,2,2021-10-11 11:05:55.105787
167,AAA0001,50,627.7950000000001,50419,360,20,2021-10-11 11:05:55.105787
175,AAA0002,85,45.882,5662,0,1,2021-10-11 11:05:55.105787
167,AAA0001,9,46.394,13720,724,51,2021-10-11 11:05:55.105787
167,AAA0001,7,25.081,8420,547,34,2021-10-11 11:05:55.105787
167,AAA0001,27,743.515,64112,240,38,2021-10-11 11:05:55.105787
5603,AAA0003,6,26.254,22696,16537,88,2021-10-11 11:05:55.105787
5603,AAA0003,52,77.268,5265,374,3,2021-10-11 11:05:55.105787
175,AAA0002,22,491.136,44939,241,37,2021-10-11 11:05:55.105787
5596,AAA0004,13,130.337,16905,665,33,2021-10-11 11:05:55.105787
5596,AAA0004,123,181.791,10907,0,2,2021-10-11 11:05:55.105787
175,AAA0002,3,6.555,7922,0,186,2021-10-11 11:05:55.105787
167,AAA0001,12,96.12,13461,669,27,2021-10-11 11:05:55.105787
5596,AAA0004,105,298.536,19805,3,4,2021-10-11 11:05:55.105787
167,AAA0001,19,290.58,25365,360,23,2021-10-11 11:05:55.105787
5596,AAA0004,20,263.478,22648,424,21,2021-10-11 11:05:55.105787
5596,AAA0004,75,126.321,9327,254,3,2021-10-11 11:05:55.105787
175,AAA0002,13,77.641,12400,547,23,2021-10-11 11:05:55.105787
175,AAA0002,8,26.401,8747,555,38,2021-10-11 11:05:55.105787
5596,AAA0004,58,367.793,28076,1,8,2021-10-11 11:05:55.105787
175,AAA0002,55,159.71699999999998,10948,0,3,2021-10-11 11:05:55.105787
5603,AAA0003,4,29.372,60028,70390,439,2021-10-11 11:05:55.105787
5596,AAA0004,45,470.624,31756,239,13,2021-10-11 11:05:55.105787
5603,AAA0003,96,316.524,24830,1518,8,2021-10-11 11:05:55.105787
5596,AAA0004,29,290.597,27785,256,16,2021-10-11 11:05:55.105787
5596,AAA0004,15,138.347,15297,734,25,2021-10-11 11:05:55.105787
167,AAA0001,14,112.807,15038,240,25,2021-10-11 11:05:55.105787
175,AAA0002,48,546.117,45400,662,14,2021-10-11 11:05:55.105787
5596,AAA0004,9,77.015,10409,312,35,2021-10-11 11:05:55.105787
175,AAA0002,40,431.625,32839,120,13,2021-10-11 11:05:55.105787
5603,AAA0003,10,115.569,19040,7402,46,2021-10-11 11:05:55.105787
175,AAA0002,27,754.045,58791,480,34,2021-10-11 11:05:55.105787
5596,AAA0004,12,179.445,21094,239,45,2021-10-11 11:05:55.105787
5596,AAA0004,72,419.307,26312,122,5,2021-10-11 11:05:55.105787
167,AAA0001,34,499.326,42701,0,20,2021-10-11 11:05:55.105787
167,AAA0001,4,8.419,8049,1985,73,2021-10-11 11:05:55.105787
5596,AAA0004,34,203.561,18738,456,10,2021-10-11 11:05:55.105787
5596,AAA0004,80,120.9,8560,0,2,2021-10-11 11:05:55.105787
5596,AAA0004,37,269.041,24610,120,14,2021-10-11 11:05:55.105787
5603,AAA0003,45,221.046,23288,2116,12,2021-10-11 11:05:55.105787
175,AAA0002,24,472.104,48091,424,36,2021-10-11 11:05:55.105787
5596,AAA0004,4,18.776,8247,1012,91,2021-10-11 11:05:55.105787
167,AAA0001,49,422.006,35890,240,13,2021-10-11 11:05:55.105787
175,AAA0002,21,558.9,48004,718,39,2021-10-11 11:05:55.105787
5603,AAA0003,47,162.214,16413,2009,8,2021-10-11 11:05:55.105787
5596,AAA0004,35,262.755,21478,0,11,2021-10-11 11:05:55.105787
5596,AAA0004,108,364.45799999999997,17937,255,3,2021-10-11 11:05:55.105787
175,AAA0002,5,12.219,9287,1622,69,2021-10-11 11:05:55.105787
175,AAA0002,23,471.835,42328,661,33,2021-10-11 11:05:55.105787
167,AAA0001,8,53.839999999999996,13985,266,54,2021-10-11 11:05:55.105787
175,AAA0002,12,71.58,12686,501,24,2021-10-11 11:05:55.105787
5596,AAA0004,28,404.395,30573,30,20,2021-10-11 11:05:55.105787
